Model,Train Accuracy,Val Accuracy,Precision,Recall,F1-Score,Training Time (s),Overfitting
Logistic Regression,1.0,1.0,1.0,1.0,1.0,4.058016538619995,0.0
Linear SVM,1.0,1.0,1.0,1.0,1.0,0.03872942924499512,0.0
RBF SVM,1.0,1.0,1.0,1.0,1.0,0.1544198989868164,0.0
Random Forest,1.0,1.0,1.0,1.0,1.0,2.654146909713745,0.0
K-NN,1.0,1.0,1.0,1.0,1.0,0.2523508071899414,0.0
MLP,1.0,1.0,1.0,1.0,1.0,3.587353229522705,0.0
CNN,1.0,1.0,1.0,1.0,1.0,12.070007801055908,0.0
LSTM,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333,86.12035632133484,0.0
